epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2377.6,1.402,4.11473,1.18898,0.07921,0.49057,0.08588,0.06499,1.01203,3.06608,1.03413,0.000114491,0.000114491,0.000114491
2,7216.37,1.23746,2.87792,1.10368,0.14333,0.47451,0.14848,0.10998,1.00263,2.47811,1.01335,0.000224947,0.000224947,0.000224947
3,12203.9,1.14023,2.35514,1.069,0.23624,0.46648,0.24618,0.1844,0.94396,2.03844,0.99156,0.000330849,0.000330849,0.000330849
4,21070.1,1.0868,2.08869,1.04446,0.2499,0.5261,0.29788,0.22302,0.92259,1.87671,0.98105,0.000324507,0.000324507,0.000324507
5,25290.3,1.05878,1.952,1.03495,0.30905,0.53255,0.36883,0.27806,0.92414,1.71459,0.97777,0.000317676,0.000317676,0.000317676
6,27677.1,1.03999,1.84882,1.02677,0.4531,0.58241,0.49191,0.38341,0.83464,1.52327,0.95228,0.000310845,0.000310845,0.000310845
7,31917.1,1.03294,1.75883,1.02113,0.47635,0.5844,0.50255,0.39162,0.81952,1.50986,0.95488,0.000304014,0.000304014,0.000304014
8,34338.6,1.02086,1.68435,1.01705,0.42594,0.56237,0.49463,0.36614,0.95205,1.53366,0.98456,0.000297183,0.000297183,0.000297183
9,39490.8,1.01516,1.61971,1.01566,0.55305,0.63411,0.62822,0.49071,0.82926,1.31305,0.95256,0.000290352,0.000290352,0.000290352
10,43680.9,0.99184,1.55016,1.00769,0.61696,0.66433,0.68376,0.52342,0.88846,1.22679,0.96829,0.000283521,0.000283521,0.000283521
11,55941.5,0.9984,1.49337,1.00943,0.65086,0.67132,0.70574,0.54605,0.86542,1.16802,0.96039,0.00027669,0.00027669,0.00027669
12,74294.3,0.98926,1.43198,1.00526,0.66017,0.66287,0.7091,0.55402,0.82879,1.15242,0.95519,0.000269859,0.000269859,0.000269859
13,94444.1,0.98588,1.39636,1.00348,0.70784,0.707,0.76186,0.61615,0.74765,1.04942,0.92974,0.000263028,0.000263028,0.000263028
14,103589,0.97518,1.33652,0.99775,0.74903,0.72678,0.79848,0.61174,0.89604,1.00279,0.966,0.000256197,0.000256197,0.000256197
15,105811,0.96636,1.29187,0.99477,0.76051,0.74337,0.81521,0.65516,0.75803,0.94764,0.93234,0.000249366,0.000249366,0.000249366
16,108046,0.96441,1.26268,0.99353,0.76952,0.73762,0.82018,0.65366,0.78396,0.93697,0.93367,0.000242535,0.000242535,0.000242535
17,110270,0.96834,1.22733,0.99606,0.77675,0.74006,0.82509,0.64442,0.84284,0.93284,0.94386,0.000235704,0.000235704,0.000235704
18,112496,0.95562,1.20045,0.98984,0.79783,0.77157,0.84644,0.6454,0.90465,0.90935,0.96874,0.000228873,0.000228873,0.000228873
19,114732,0.95639,1.18579,0.98813,0.80638,0.78533,0.85675,0.68694,0.77276,0.86538,0.9277,0.000222042,0.000222042,0.000222042
20,116960,0.95045,1.1576,0.98605,0.8174,0.7868,0.86747,0.67265,0.86407,0.84902,0.94996,0.000215211,0.000215211,0.000215211
21,119191,0.94627,1.14234,0.98532,0.80963,0.77469,0.84983,0.66805,0.83012,0.9715,0.94051,0.00020838,0.00020838,0.00020838
22,121419,0.93705,1.1082,0.98074,0.80659,0.77679,0.86129,0.68216,0.80249,0.83484,0.93261,0.000201549,0.000201549,0.000201549
23,123652,0.9326,1.09632,0.98056,0.83807,0.80235,0.88061,0.70979,0.74736,0.77521,0.9188,0.000194718,0.000194718,0.000194718
24,125883,0.93509,1.07552,0.97695,0.84285,0.8168,0.88863,0.71269,0.76917,0.76513,0.92469,0.000187887,0.000187887,0.000187887
25,128117,0.93163,1.06632,0.97465,0.84985,0.81076,0.89014,0.70021,0.82065,0.7547,0.93583,0.000181056,0.000181056,0.000181056
26,130344,0.93355,1.04952,0.97688,0.85632,0.8206,0.89937,0.72219,0.76274,0.73616,0.92073,0.000174225,0.000174225,0.000174225
27,132578,0.92602,1.04272,0.97316,0.84254,0.8132,0.88953,0.70902,0.78327,0.75086,0.92344,0.000167394,0.000167394,0.000167394
28,134807,0.929,1.03518,0.97716,0.86905,0.8238,0.89967,0.72343,0.75427,0.71279,0.91724,0.000160563,0.000160563,0.000160563
29,137029,0.91624,1.00973,0.97112,0.85976,0.82074,0.90091,0.72065,0.77637,0.71838,0.91995,0.000153732,0.000153732,0.000153732
30,139255,0.91967,1.00839,0.97178,0.86862,0.83561,0.90828,0.73012,0.75831,0.6858,0.91889,0.000146901,0.000146901,0.000146901
31,141482,0.91527,0.99351,0.96984,0.85664,0.8256,0.90129,0.71713,0.78686,0.70692,0.92205,0.00014007,0.00014007,0.00014007
